SECY_number,SRM Description,SRM Date,SRM Year,SRM url,Description,SECY Date,SECY Year,SECY url,detailed_type,title,voter,Vote Date,CVR Year,availability,SRM_Business_Days,Vote_Business_Days,Vote_SRM_Business_Days,first_vote,last_vote,Role at CVR,Party Affiliation,Start Date,End Date,Gender,Chair at CVR,Cumulative Days Served,Term Number,Chair at SECY,Chair at SECY Start Date,Chair at SECY End Date,Last Name,Role at SECY,SECY_before_term,Original_Vote_Business_Days,Original_SRM_Business_Days,next_chair,bdays_before_chair_end,responsible_chair,com_count_SECY,com_count_CVR,com_count_SRM,com_count_average,consistency_count,Congress,Presidency,Party,Party_Congress_Diff,Party_Presidency_Diff
SECY-00-0001,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-02-14,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0001srm.pdf,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672266.pdf,Other,COMR.,DIAZ,2000-02-08,2000,all,29.0,25.0,4.0,False,True,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1265,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,25.0,29.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0001,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-02-14,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0001srm.pdf,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672266.pdf,Other,COMR.,DICUS,2000-01-13,2000,all,29.0,8.0,21.0,False,False,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1311,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,8.0,29.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0001,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-02-14,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0001srm.pdf,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672266.pdf,Other,COMR.,MCGAFFIGAN,2000-01-21,2000,all,29.0,13.0,16.0,False,False,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1242,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,13.0,29.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0001,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-02-14,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0001srm.pdf,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672266.pdf,Other,COMR.,MERRIFIELD,2000-01-11,2000,all,29.0,6.0,23.0,True,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,446,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,6.0,29.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0001,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-02-14,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0001srm.pdf,Pilot Program for NMSS Initiative on Streamlining Inspection and Enforcement,2000-01-03,2000,https://www.nrc.gov/docs/ML0036/ML003672266.pdf,Other,CHRM.,MESERVE,2000-01-19,2000,all,29.0,11.0,18.0,False,False,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,83,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,11.0,29.0,Diaz,845.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0002,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,2000-02-09,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0002srm.pdf,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,1999-12-30,2000,https://www.nrc.gov/docs/ML0036/ML003672289.pdf,Rulemaking Plan,COMR.,DIAZ,2000-01-18,2000,all,27.0,11.0,16.0,True,False,Commissioner,Republican,1996-08-23,2001-06-30,Male,Meserve,1244,1,Meserve,1999-10-29,2003-03-31,DIAZ,Commissioner,False,11.0,27.0,Diaz,847.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0002,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,2000-02-09,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0002srm.pdf,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,1999-12-30,2000,https://www.nrc.gov/docs/ML0036/ML003672289.pdf,Rulemaking Plan,COMR.,DICUS,2000-01-24,2000,all,27.0,15.0,12.0,False,True,Commissioner,Democrat,1999-10-29,2003-06-30,Female,Meserve,1322,4,Meserve,1999-10-29,2003-03-31,DICUS,Commissioner,False,15.0,27.0,Diaz,847.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0002,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,2000-02-09,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0002srm.pdf,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,1999-12-30,2000,https://www.nrc.gov/docs/ML0036/ML003672289.pdf,Rulemaking Plan,COMR.,MCGAFFIGAN,2000-01-21,2000,all,27.0,14.0,13.0,False,False,Commissioner,Democrat,1996-08-28,2005-06-30,Male,Meserve,1242,1,Meserve,1999-10-29,2003-03-31,MCGAFFIGAN,Commissioner,False,14.0,27.0,Diaz,847.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
SECY-00-0002,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,2000-02-09,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0002srm.pdf,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,1999-12-30,2000,https://www.nrc.gov/docs/ML0036/ML003672289.pdf,Rulemaking Plan,COMR.,MERRIFIELD,2000-01-18,2000,all,27.0,11.0,16.0,False,False,Commissioner,Republican,1998-10-23,2002-06-30,Male,Meserve,453,1,Meserve,1999-10-29,2003-03-31,MERRIFIELD,Commissioner,False,11.0,27.0,Diaz,847.0,Meserve,5,5,5,5.0,1,1.0,0,1.0,0.0,1.0
SECY-00-0002,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,2000-02-09,2000,https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/reading-rm/doc-collections/commission/srm/2000/2000-0002srm.pdf,Part 50 Rulemaking Plan for Decommissioning Trust Provisions,1999-12-30,2000,https://www.nrc.gov/docs/ML0036/ML003672289.pdf,Rulemaking Plan,CHRM.,MESERVE,2000-01-18,2000,all,27.0,11.0,16.0,False,False,Chair,Democrat,1999-10-29,2003-03-31,Male,Meserve,82,1,Meserve,1999-10-29,2003-03-31,MESERVE,Chair,False,11.0,27.0,Diaz,847.0,Meserve,5,5,5,5.0,1,1.0,0,0.0,1.0,0.0
